thomas_num,thomas_name,id,icpsr,congress,st_name,cd,dem,female,votepct,deleg_size,speaker,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,afam,latino,votepct_sq,power,chair,seniority,sensq,state_leg,state_leg_prof,majority,maj_leader,min_leader,minwomen,majwomen,meddist,south,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag,demwomen,repwomen,les_am,leslag_am,les_am_half,leslag_am_half
1,"Abdnor, James",934102,14000,93,SD,2,0,0,55,6,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,3025,0,0,1,1,1,0.104000002,0,0,0,0,0,0.275000006,0,22,0,0,0,0,0.109570265,NA,0,0,NA,NA,NA,NA
446,"Abdnor, James",944102,14000,94,SD,2,0,0,68,2,0,0,0,0,0,0,32,0,0,0,0,2,0,0,0,0,0,0,4624,0,0,2,4,1,0.104000002,0,0,0,0,0,0.411000013,0,34,0,0,0,0,0.18572849,0.109570265,0,0,NA,NA,NA,NA
890,"Abdnor, James",954102,14000,95,SD,2,0,0,70,2,0,0,0,0,0,0,29,1,1,1,0,3,0,0,0,0,0,0,4900,0,0,3,9,1,0.104000002,0,0,0,0,0,0.397500008,0,32,1,1,1,0,0.428127646,0.18572849,0,0,NA,NA,NA,NA
1333,"Abdnor, James",964102,14000,96,SD,2,0,NA,NA,2,0,0,0,0,0,0,24,0,0,0,0,1,1,1,1,0,0,0,NA,0,0,4,16,1,0.104000002,0,0,0,0,0,0.367000014,0,25,1,1,1,0,0.312010556,0.428127646,0,0,NA,NA,NA,NA
2664,"Abercrombie, Neil",991101.2,15245,99,HI,1,1,0,NA,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,1,0,0,1,0,0,0,0,0.41900003,0,1,0,0,0,0,0.015369171,NA,0,0,0.015369171,NA,0.015369171,NA
4003,"Abercrombie, Neil",1021101,15245,102,HI,1,1,0,60,2,0,1,1,1,0,0,14,5,4,0,0,1,0,0,0,0,0,0,3600,0,0,1,1,1,0.275999993,1,0,0,0,0,0.357000023,0,16,6,5,0,0,1.093407393,NA,0,0,1.093407393,NA,1.093407393,NA
4449,"Abercrombie, Neil",1031101,15245,103,HI,1,1,0,73,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,5329,0,0,2,4,1,0.275999993,1,0,0,0,0,0.335999995,0,3,1,0,0,0,0.097937308,1.093407393,0,0,0.097937308,1.093407393,0.097937308,1.093407393
4894,"Abercrombie, Neil",1041101,15245,104,HI,1,1,0,54,2,0,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,0,0,2916,0,0,3,9,1,0.275999993,0,0,0,0,0,0.662999988,0,6,1,1,1,1,0.693415821,0.097937308,0,0,0.095653668,0.097937308,0.394534737,0.097937308
5339,"Abercrombie, Neil",1051101,15245,105,HI,1,1,0,50,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,4,16,1,0.275999993,0,0,0,0,0,0.657499969,0,13,0,0,0,0,0.235050142,0.693415821,0,0,0.481508791,0.095653668,0.358279467,0.394534737
5788,"Abercrombie, Neil",1061101,15245,106,HI,1,1,0,62,2,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0,0,0,3844,0,0,5,25,1,0.275999993,0,0,0,0,0,0.610000014,0,9,1,1,1,0,0.426843315,0.235050142,0,0,0.426843315,0.481508791,0.426843315,0.358279467
6230,"Abercrombie, Neil",1071101,15245,107,HI,1,1,0,69,2,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,4761,0,0,6,36,1,0.275999993,0,0,0,0,0,0.640999973,0,10,1,1,0,0,0.389987439,0.426843315,0,0,0.389987439,0.426843315,0.389987439,0.426843315
6677,"Abercrombie, Neil",1081101,15245,108,HI,1,1,0,73,2,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,5329,0,0,7,49,1,0.275999993,0,0,0,0,0,0.67900002,0,8,1,1,0,0,0.35252434,0.389987439,0,0,0.35252434,0.389987439,0.35252434,0.389987439
